rank,dimension,name,variance_captured,pca_eigenvalue,independence,cumulative_ratio_r_j
1,1,Action Intensity,38.15111106954496,66.45947624628879,0.8191455961951817,0.5740507332342298
2,3,Sci-Fi Elements,30.58318086768954,61.370055332123236,0.8916382433793226,0.537702759984473
3,2,Emotional Depth,30.0749798702561,50.979079676507205,0.8859910227685129,0.5525979488013737
4,9,Music Influence,25.31301759547613,47.706735492747185,0.8912985019007112,0.5479641498252941
5,7,Character Complexity,25.165545312322717,40.816078148926984,0.9284861148198511,0.558437283506926
6,6,Visual Effects,25.15157034596828,39.84190731924917,0.9294700870166637,0.5678859027341727
7,8,Dialogue Quality,23.870605101885324,35.896085322743865,0.9464258182803799,0.5780463079045461
8,4,Comedy Level,23.481871578873534,34.37884211159806,0.9593969642907967,0.5876087015146689
9,5,Historical Accuracy,23.282809896683908,34.10664636881686,0.9573921647716434,0.5954848017955238
10,10,Pacing Speed,20.456543703152093,31.506548278496812,0.9445476828037654,0.5993101696532573
