persona_id,option_a_id,option_b_id,choice_1,choice_2,consistent
0,725,213,B,B,1
0,192803,66934,A,A,1
0,71282,3439,A,A,1
0,100498,2787,B,B,1
0,6958,3145,B,B,1
0,66934,354,B,A,0
0,66934,1019,B,A,0
0,47640,1453,B,B,1
0,3022,202429,B,B,1
0,57532,1391,B,B,1
1,725,213,B,B,1
1,192803,66934,B,B,1
1,71282,3439,B,A,0
1,100498,2787,A,A,1
1,6958,3145,B,B,1
1,66934,354,A,A,1
1,66934,1019,A,A,1
1,47640,1453,B,B,1
1,3022,202429,A,A,1
1,57532,1391,B,B,1
3,725,213,B,B,1
3,192803,66934,A,A,1
3,71282,3439,B,B,1
3,100498,2787,B,B,1
3,6958,3145,B,B,1
3,66934,354,B,B,1
3,66934,1019,B,B,1
3,47640,1453,B,B,1
3,3022,202429,A,A,1
3,57532,1391,B,B,1
2,725,213,B,B,1
2,192803,66934,A,A,1
2,71282,3439,B,B,1
2,100498,2787,A,A,1
2,6958,3145,B,B,1
2,66934,354,B,B,1
2,66934,1019,B,B,1
2,47640,1453,B,B,1
2,3022,202429,A,A,1
2,57532,1391,A,B,0
5,725,213,B,B,1
5,192803,66934,A,A,1
5,71282,3439,B,B,1
5,100498,2787,A,A,1
5,6958,3145,A,A,1
5,66934,354,A,B,0
5,66934,1019,B,B,1
5,47640,1453,A,A,1
5,3022,202429,A,A,1
5,57532,1391,B,B,1
7,725,213,B,B,1
7,192803,66934,A,A,1
7,71282,3439,A,A,1
7,100498,2787,A,A,1
7,6958,3145,B,B,1
7,66934,354,A,A,1
7,66934,1019,A,A,1
7,47640,1453,B,B,1
7,3022,202429,A,A,1
7,57532,1391,B,B,1
4,725,213,A,A,1
4,192803,66934,B,B,1
4,71282,3439,B,B,1
4,100498,2787,B,B,1
4,6958,3145,A,B,0
4,66934,354,A,A,1
4,66934,1019,A,A,1
4,47640,1453,B,B,1
4,3022,202429,B,B,1
4,57532,1391,B,B,1
6,725,213,A,A,1
6,192803,66934,B,B,1
6,71282,3439,B,B,1
6,100498,2787,A,A,1
6,6958,3145,A,A,1
6,66934,354,A,A,1
6,66934,1019,A,A,1
6,47640,1453,B,B,1
6,3022,202429,B,B,1
6,57532,1391,B,B,1
8,725,213,A,A,1
8,192803,66934,B,B,1
8,71282,3439,B,B,1
8,100498,2787,B,A,0
8,6958,3145,B,B,1
8,66934,354,A,A,1
8,66934,1019,A,A,1
8,47640,1453,B,B,1
8,3022,202429,B,B,1
8,57532,1391,B,B,1
9,725,213,B,B,1
9,192803,66934,B,A,0
9,71282,3439,A,A,1
9,100498,2787,A,B,0
9,6958,3145,B,B,1
9,66934,354,A,A,1
9,66934,1019,B,B,1
9,47640,1453,B,B,1
9,3022,202429,A,A,1
9,57532,1391,B,B,1
10,725,213,B,B,1
10,192803,66934,A,A,1
10,71282,3439,A,A,1
10,100498,2787,A,A,1
10,6958,3145,B,B,1
10,66934,354,A,A,1
10,66934,1019,B,B,1
10,47640,1453,B,B,1
10,3022,202429,A,B,0
10,57532,1391,A,A,1
11,725,213,B,B,1
11,192803,66934,A,B,0
11,71282,3439,A,B,0
11,100498,2787,B,B,1
11,6958,3145,B,B,1
11,66934,354,A,A,1
11,66934,1019,A,A,1
11,47640,1453,B,B,1
11,3022,202429,A,B,0
11,57532,1391,B,B,1
12,725,213,A,A,1
12,192803,66934,A,A,1
12,71282,3439,A,B,0
12,100498,2787,A,A,1
12,6958,3145,B,B,1
12,66934,354,A,A,1
12,66934,1019,A,A,1
12,47640,1453,B,B,1
12,3022,202429,B,B,1
12,57532,1391,B,B,1
13,725,213,A,A,1
13,192803,66934,B,B,1
13,71282,3439,B,B,1
13,100498,2787,A,A,1
13,6958,3145,A,A,1
13,66934,354,A,A,1
13,66934,1019,A,A,1
13,47640,1453,B,B,1
13,3022,202429,A,A,1
13,57532,1391,B,B,1
14,725,213,B,B,1
14,192803,66934,A,A,1
14,71282,3439,A,A,1
14,100498,2787,A,A,1
14,6958,3145,B,B,1
14,66934,354,B,B,1
14,66934,1019,A,A,1
14,47640,1453,B,B,1
14,3022,202429,B,B,1
14,57532,1391,B,B,1
15,725,213,B,B,1
15,192803,66934,A,A,1
15,71282,3439,A,B,0
15,100498,2787,A,A,1
15,6958,3145,B,B,1
15,66934,354,B,B,1
15,66934,1019,B,B,1
15,47640,1453,B,B,1
15,3022,202429,B,A,0
15,57532,1391,B,B,1
16,725,213,A,A,1
16,192803,66934,B,B,1
16,71282,3439,B,B,1
16,100498,2787,A,B,0
16,6958,3145,A,A,1
16,66934,354,A,A,1
16,66934,1019,B,A,0
16,47640,1453,B,B,1
16,3022,202429,A,B,0
16,57532,1391,B,B,1
18,725,213,B,B,1
18,192803,66934,A,A,1
18,71282,3439,A,A,1
18,100498,2787,B,A,0
18,6958,3145,B,B,1
18,66934,354,B,B,1
18,66934,1019,B,B,1
18,47640,1453,B,B,1
18,3022,202429,A,A,1
18,57532,1391,B,B,1
17,725,213,B,B,1
17,192803,66934,B,B,1
17,71282,3439,B,B,1
17,100498,2787,B,B,1
17,6958,3145,B,B,1
17,66934,354,A,A,1
17,66934,1019,A,A,1
17,47640,1453,B,B,1
17,3022,202429,B,A,0
17,57532,1391,B,B,1
19,725,213,B,B,1
19,192803,66934,A,A,1
19,71282,3439,B,B,1
19,100498,2787,A,A,1
19,6958,3145,B,B,1
19,66934,354,A,A,1
19,66934,1019,A,A,1
19,47640,1453,A,A,1
19,3022,202429,B,B,1
19,57532,1391,B,B,1
